invoice_no,item_no,description,qty,unit,net_price,net_worth,vat_pct,gross_worth
51109301,1,Garmin Fenix 7 Solar Multisport GPS,9.0,pcs,74120.0,667080.0,10%,733788.0
51109301,2,Apple Watch Series 9 GPS 45mm Midnight,8.0,pcs,52083.0,416664.0,10%,458330.4
51109301,3,Xiaomi 14 Pro 512GB White,8.0,pcs,74154.0,593232.0,10%,652555.2
51109302,1,Apple MacBook Air M2 8GB 256GB Silver,7.0,pcs,102933.0,720531.0,10%,792584.1
51109302,2,TP-Link Archer AX73 WiFi 6 Router,5.0,pcs,15075.0,75375.0,10%,82912.5
51109302,3,Samsung Galaxy Tab S9 256GB Graphite,1.0,pcs,76786.0,76786.0,10%,84464.6
51109302,4,LG UltraGear 27 inch 165Hz Gaming Monitor,5.0,pcs,28169.0,140845.0,10%,154929.5
51109302,5,JBL Flip 6 Portable Bluetooth Speaker,4.0,pcs,11692.0,46768.0,10%,51444.8
51109302,6,Vivo X100 Pro 256GB Asteroid Black,8.0,pcs,90026.0,720208.0,10%,792228.8
51109303,1,Samsung Galaxy S24 256GB Phantom Black,6.0,pcs,69613.0,417678.0,10%,459445.8
51109303,2,Lenovo Tab P12 Pro 256GB Storm Grey,5.0,pcs,43706.0,218530.0,10%,240383.0
51109303,3,TP-Link Archer AX73 WiFi 6 Router,8.0,pcs,12767.0,102136.0,10%,112349.6
51109303,4,LG UltraGear 27 inch 165Hz Gaming Monitor,7.0,pcs,31213.0,218491.0,10%,240340.1
51109304,1,GoPro Hero 12 Black Action Camera,1.0,pcs,37281.0,37281.0,10%,41009.1
51109304,2,Boat Rockerz 550 Bluetooth Headphones,4.0,pcs,2422.0,9688.0,10%,10656.8
51109304,3,Western Digital 2TB My Passport HDD,10.0,pcs,6176.0,61760.0,10%,67936.0
51109304,4,DJI Mini 3 Pro Fly More Combo Drone,6.0,pcs,106805.0,640830.0,10%,704913.0
51109304,5,Samsung Galaxy Tab S9 256GB Graphite,7.0,pcs,70974.0,496818.0,10%,546499.8
51109304,6,Vivo X100 Pro 256GB Asteroid Black,6.0,pcs,76281.0,457686.0,10%,503454.6
51109305,1,Belkin MagSafe 3-in-1 Wireless Charger,9.0,pcs,8175.0,73575.0,10%,80932.5
51109305,2,Sony Alpha ZV-E10 Mirrorless Kit 16-50,10.0,pcs,57931.0,579310.0,10%,637241.0
51109305,3,Boat Rockerz 550 Bluetooth Headphones,4.0,pcs,1921.0,7684.0,10%,8452.4
51109305,4,Western Digital 2TB My Passport HDD,9.0,pcs,6432.0,57888.0,10%,63676.8
51109305,5,Samsung Galaxy S24 256GB Phantom Black,8.0,pcs,72370.0,578960.0,10%,636856.0
51109305,6,Dell XPS 13 Intel i7 16GB 512GB,7.0,pcs,103744.0,726208.0,10%,798828.8
